Accuracy of pairwise identification:    mean(standard error) p-value (chance level 50%)
ROI,# of voxels,# of valid subjects,N > Adj,N > Adv,N > V,Adj > N,Adj > Adv,Adj > V,Adv > N,Adv > Adj,Adv > V,V > N,V > Adj,V > Adv
ROI#6,296 (0),7,64(18.0) p=0.229,64(14.3) p=0.178,50(10.9) p=0.500,79(14.9) p=0.052,50(15.4) p=0.500,64(14.3) p=0.178,57(17.0) p=0.345,36(14.3) p=0.822,57(17.0) p=0.345,57(13.0) p=0.302,50(10.9) p=0.500,57(17.0) p=0.345
ROI#4,570 (0),7,71(10.1) p=0.039,100(0.0) p=0.000,71(10.1) p=0.039,57(13.0) p=0.302,86(9.2) p=0.004,64(14.3) p=0.178,64(14.3) p=0.178,43(13.0) p=0.698,50(15.4) p=0.500,43(13.0) p=0.698,71(14.9) p=0.100,71(18.4) p=0.145
ROI#5,435 (0),7,57(17.0) p=0.345,93(7.1) p=0.000,71(10.1) p=0.039,36(14.3) p=0.822,93(7.1) p=0.000,57(17.0) p=0.345,50(15.4) p=0.500,36(14.3) p=0.822,50(18.9) p=0.500,36(9.2) p=0.914,43(13.0) p=0.698,50(18.9) p=0.500
ROI#2,1139 (0),7,57(13.0) p=0.302,93(7.1) p=0.000,71(14.9) p=0.100,64(18.0) p=0.229,93(7.1) p=0.000,64(14.3) p=0.178,50(15.4) p=0.500,36(14.3) p=0.822,43(17.0) p=0.655,36(14.3) p=0.822,29(10.1) p=0.961,71(14.9) p=0.100
ROI#1,2566 (0),7,64(9.2) p=0.086,100(0.0) p=0.000,93(7.1) p=0.000,50(15.4) p=0.500,86(14.3) p=0.023,79(10.1) p=0.015,50(15.4) p=0.500,21(10.1) p=0.985,29(14.9) p=0.900,64(14.3) p=0.178,50(15.4) p=0.500,64(14.3) p=0.178
ROI#3,653 (0),7,79(10.1) p=0.015,86(9.2) p=0.004,64(9.2) p=0.086,50(15.4) p=0.500,71(10.1) p=0.039,71(14.9) p=0.100,57(13.0) p=0.302,29(10.1) p=0.961,43(17.0) p=0.655,36(9.2) p=0.914,57(13.0) p=0.302,64(14.3) p=0.178

Accuracy of identification (average):    mean(standard error) p-value (chance level 50%)
ROI,# of voxels,# of valid subjects,N > * (average),Adj > * (average),Adv > * (average),V > * (average)
ROI#6,296 (0),7,60(13.0) p=0.246,64(6.7) p=0.039,50(14.5) p=0.500,55(10.1) p=0.327
ROI#4,570 (0),7,81(6.7) p=0.002,69(9.9) p=0.052,52(11.7) p=0.423,62(13.0) p=0.197
ROI#5,435 (0),7,74(8.0) p=0.012,62(10.7) p=0.155,45(13.5) p=0.632,43(7.1) p=0.822
ROI#2,1139 (0),7,74(8.0) p=0.012,74(8.8) p=0.018,43(14.5) p=0.680,45(10.7) p=0.664
ROI#1,2566 (0),7,86(4.3) p=0.000,71(10.1) p=0.039,33(11.5) p=0.901,60(9.5) p=0.178
ROI#3,653 (0),7,76(6.1) p=0.003,64(11.2) p=0.124,43(9.5) p=0.759,52(11.2) p=0.419

Accuracy of identification (across all conditions):    mean(standard error) p-value (chance level 25%)
ROI,# of voxels,# of valid subjects,N > * (all),Adj > * (all),Adv > * (all),V > * (all)
ROI#6,296 (0),7,36(14.3) p=0.241,21(10.1) p=0.632,36(14.3) p=0.241,21(14.9) p=0.591
ROI#4,570 (0),7,64(14.3) p=0.017,36(18.0) p=0.286,29(14.9) p=0.409,36(14.3) p=0.241
ROI#5,435 (0),7,36(18.0) p=0.286,36(14.3) p=0.241,21(14.9) p=0.591,14(9.2) p=0.855
ROI#2,1139 (0),7,36(18.0) p=0.286,43(13.0) p=0.110,21(14.9) p=0.591,14(9.2) p=0.855
ROI#1,2566 (0),7,64(9.2) p=0.003,43(17.0) p=0.167,14(9.2) p=0.855,29(14.9) p=0.409
ROI#3,653 (0),7,43(13.0) p=0.110,36(14.3) p=0.241,14(9.2) p=0.855,36(9.2) p=0.145

Within- and Between- condition measures
ROI,Measure,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,,Average,Standard error
ROI#6,Within_N,1.433184,1.288016,0.117918,0.954114,0.624358,0.517748,1.690914,,0.946608,0.211675
ROI#6,Within_Adj,0.516087,1.444377,0.474233,1.268362,0.744227,0.997217,1.309375,,0.964840,0.149011
ROI#6,Within_Adv,0.040252,1.358459,0.551765,0.873456,1.050027,0.887177,0.772216,,0.790479,0.156324
ROI#6,Within_V,1.114553,1.318806,0.246838,0.832529,0.686506,0.775279,1.297322,,0.895976,0.144048
ROI#6,Between_N_Adj,0.836866,1.348342,0.032931,1.095147,0.583296,0.697493,1.543269,,0.876763,0.191871
ROI#6,Between_N_Adv,0.728939,1.306605,-0.095300,0.789972,0.629110,0.647577,1.032430,,0.719905,0.163657
ROI#6,Between_N_V,0.966925,1.272426,0.013984,0.858264,0.594974,0.678716,1.608748,,0.856291,0.192781
ROI#6,Between_Adj_N,0.836866,1.348342,0.032931,1.095147,0.583296,0.697493,1.543269,,0.876763,0.191871
ROI#6,Between_Adj_Adv,0.422545,1.508447,0.458051,1.091864,0.843522,0.982244,1.104420,,0.915870,0.144772
ROI#6,Between_Adj_V,0.572404,1.343480,0.313604,1.013302,0.737220,0.863289,1.535631,,0.911276,0.161221
ROI#6,Between_Adv_N,0.728939,1.306605,-0.095300,0.789972,0.629110,0.647577,1.032430,,0.719905,0.163657
ROI#6,Between_Adv_Adj,0.422545,1.508447,0.458051,1.091864,0.843522,0.982244,1.104420,,0.915870,0.144772
ROI#6,Between_Adv_V,0.551507,1.240380,0.312914,0.854462,0.865684,0.881686,1.103063,,0.829957,0.118769
ROI#6,Between_V_N,0.966925,1.272426,0.013984,0.858264,0.594974,0.678716,1.608748,,0.856291,0.192781
ROI#6,Between_V_Adj,0.572404,1.343480,0.313604,1.013302,0.737220,0.863289,1.535631,,0.911276,0.161221
ROI#6,Between_V_Adv,0.551507,1.240380,0.312914,0.854462,0.865684,0.881686,1.103063,,0.829957,0.118769
ROI#4,Within_N,2.951798,1.393002,0.770083,1.283150,0.707084,0.779795,1.239782,,1.303528,0.294549
ROI#4,Within_Adj,2.008599,1.168570,0.803232,1.542695,0.550408,0.455338,1.202954,,1.104542,0.209444
ROI#4,Within_Adv,1.148788,0.280422,0.236765,1.229157,0.957748,0.187259,0.731287,,0.681632,0.169031
ROI#4,Within_V,2.221817,1.299192,0.727497,1.573524,0.335715,1.271321,0.613604,,1.148953,0.243703
ROI#4,Between_N_Adj,2.337260,1.148870,0.812644,1.189735,0.528429,0.691531,1.170720,,1.125598,0.224552
ROI#4,Between_N_Adv,1.623769,0.539250,0.053470,0.808414,0.387133,0.373107,0.924496,,0.672806,0.192658
ROI#4,Between_N_V,2.624170,1.291708,0.833541,1.191073,0.544502,1.039902,0.909781,,1.204954,0.254034
ROI#4,Between_Adj_N,2.337260,1.148870,0.812644,1.189735,0.528429,0.691531,1.170720,,1.125598,0.224552
ROI#4,Between_Adj_Adv,1.472666,0.472966,0.187499,1.185275,0.630797,0.399804,0.830491,,0.739928,0.172343
ROI#4,Between_Adj_V,2.182868,1.071156,0.731242,1.439389,0.429281,0.785902,0.955786,,1.085089,0.217801
ROI#4,Between_Adv_N,1.623769,0.539250,0.053470,0.808414,0.387133,0.373107,0.924496,,0.672806,0.192658
ROI#4,Between_Adv_Adj,1.472666,0.472966,0.187499,1.185275,0.630797,0.399804,0.830491,,0.739928,0.172343
ROI#4,Between_Adv_V,1.586061,0.722823,0.104887,1.329583,0.438419,0.427593,0.848423,,0.779684,0.198589
ROI#4,Between_V_N,2.624170,1.291708,0.833541,1.191073,0.544502,1.039902,0.909781,,1.204954,0.254034
ROI#4,Between_V_Adj,2.182868,1.071156,0.731242,1.439389,0.429281,0.785902,0.955786,,1.085089,0.217801
