Accuracy of pairwise identification:    mean(standard error) p-value (chance level 50%)
ROI,# of voxels,# of valid subjects,N > AJ,N > V,N > AV,N > FW,AJ > N,AJ > V,AJ > AV,AJ > FW,V > N,V > AJ,V > AV,V > FW,AV > N,AV > AJ,AV > V,AV > FW,FW > N,FW > AJ,FW > V,FW > AV
ROI#6,286 (0),16,59(6.8) p=0.094,50(7.9) p=0.500,47(9.6) p=0.625,62(7.2) p=0.052,53(7.2) p=0.335,62(7.2) p=0.052,59(9.4) p=0.167,66(8.8) p=0.048,47(8.5) p=0.641,38(7.2) p=0.948,38(8.5) p=0.918,59(6.8) p=0.094,59(10.4) p=0.191,38(8.5) p=0.918,56(7.7) p=0.216,62(7.2) p=0.052,44(9.0) p=0.751,47(9.6) p=0.625,56(9.0) p=0.249,44(9.0) p=0.751
ROI#4,606 (0),16,38(9.7) p=0.892,53(8.5) p=0.359,47(8.5) p=0.641,56(4.3) p=0.082,62(9.7) p=0.108,44(10.1) p=0.728,44(9.0) p=0.751,69(7.7) p=0.014,72(7.9) p=0.007,59(11.4) p=0.212,47(7.2) p=0.665,62(7.2) p=0.052,59(8.2) p=0.135,53(8.5) p=0.359,53(7.2) p=0.335,72(7.9) p=0.007,44(4.3) p=0.918,38(8.5) p=0.918,31(6.2) p=0.996,34(7.5) p=0.972
ROI#5,434 (0),16,59(9.4) p=0.167,50(9.1) p=0.500,50(10.2) p=0.500,44(7.7) p=0.784,44(7.7) p=0.784,41(8.2) p=0.865,34(7.5) p=0.972,38(8.5) p=0.918,44(9.0) p=0.751,59(6.8) p=0.094,53(8.5) p=0.359,53(7.2) p=0.335,50(9.1) p=0.500,62(8.5) p=0.082,50(7.9) p=0.500,41(8.2) p=0.865,56(9.0) p=0.249,69(7.7) p=0.014,53(8.5) p=0.359,59(8.2) p=0.135
ROI#2,1113 (0),16,56(7.7) p=0.216,78(6.4) p=0.000,75(6.5) p=0.001,59(8.2) p=0.135,44(6.2) p=0.833,59(8.2) p=0.135,72(6.4) p=0.002,41(10.4) p=0.809,41(8.2) p=0.865,41(8.2) p=0.865,50(9.1) p=0.500,25(7.9) p=0.997,50(9.1) p=0.500,34(7.5) p=0.972,53(9.6) p=0.375,38(8.5) p=0.918,69(9.0) p=0.027,62(9.7) p=0.108,69(10.1) p=0.041,62(8.5) p=0.082
ROI#1,2668 (0),16,41(9.4) p=0.833,47(9.6) p=0.625,41(10.4) p=0.809,47(7.2) p=0.665,72(7.9) p=0.007,53(9.6) p=0.375,62(8.5) p=0.082,66(7.5) p=0.028,72(10.2) p=0.024,44(9.0) p=0.751,41(10.4) p=0.809,62(7.2) p=0.052,72(10.2) p=0.024,50(9.1) p=0.500,69(9.0) p=0.027,59(6.8) p=0.094,69(7.7) p=0.014,47(9.6) p=0.625,50(7.9) p=0.500,47(8.5) p=0.641
ROI#3,651 (0),16,62(8.5) p=0.082,59(6.8) p=0.094,53(8.5) p=0.359,56(9.0) p=0.249,38(9.7) p=0.892,47(8.5) p=0.641,47(8.5) p=0.641,47(8.5) p=0.641,47(9.6) p=0.625,53(9.6) p=0.375,41(8.2) p=0.865,53(8.5) p=0.359,53(9.6) p=0.375,50(9.1) p=0.500,56(9.0) p=0.249,38(8.5) p=0.918,56(7.7) p=0.216,69(6.2) p=0.004,56(9.0) p=0.249,62(8.5) p=0.082

Accuracy of identification (average):    mean(standard error) p-value (chance level 50%)
ROI,# of voxels,# of valid subjects,N > * (average),AJ > * (average),V > * (average),AV > * (average),FW > * (average)
ROI#6,286 (0),16,55(5.9) p=0.220,60(6.4) p=0.066,45(5.2) p=0.809,54(7.0) p=0.293,48(6.3) p=0.643
ROI#4,606 (0),16,48(5.5) p=0.611,55(6.9) p=0.255,60(5.0) p=0.030,59(5.8) p=0.062,37(5.3) p=0.988
ROI#5,434 (0),16,51(7.8) p=0.461,39(5.3) p=0.971,52(5.0) p=0.323,51(4.8) p=0.436,59(6.9) p=0.097
ROI#2,1113 (0),16,67(5.2) p=0.002,54(5.3) p=0.237,39(4.1) p=0.991,44(7.0) p=0.806,66(7.9) p=0.034
ROI#1,2668 (0),16,44(6.7) p=0.819,63(6.3) p=0.026,55(6.0) p=0.224,62(5.7) p=0.022,53(6.8) p=0.326
ROI#3,651 (0),16,58(6.1) p=0.111,45(5.8) p=0.819,48(4.8) p=0.625,49(6.6) p=0.546,61(5.3) p=0.029

Accuracy of identification (across all conditions):    mean(standard error) p-value (chance level 20%)
ROI,# of voxels,# of valid subjects,N > * (all),AJ > * (all),V > * (all),AV > * (all),FW > * (all)
ROI#6,286 (0),16,34(8.8) p=0.062,38(8.5) p=0.029,3(3.1) p=1.000,28(7.9) p=0.159,16(6.0) p=0.762
ROI#4,606 (0),16,22(6.4) p=0.387,31(9.0) p=0.115,19(7.7) p=0.563,22(9.1) p=0.420,19(6.2) p=0.578
ROI#5,434 (0),16,31(9.0) p=0.115,16(6.0) p=0.762,6(4.3) p=0.997,19(6.2) p=0.578,44(9.0) p=0.009
ROI#2,1113 (0),16,44(7.7) p=0.004,16(6.0) p=0.762,0(0.0) p=1.000,19(6.2) p=0.578,47(9.6) p=0.007
ROI#1,2668 (0),16,19(7.7) p=0.563,34(9.9) p=0.084,19(7.7) p=0.563,28(7.9) p=0.159,28(6.4) p=0.112
ROI#3,651 (0),16,28(6.4) p=0.112,19(6.2) p=0.578,6(4.3) p=0.997,22(6.4) p=0.387,34(7.5) p=0.038

Within- and Between- condition measures
ROI,Measure,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12,Subject#13,Subject#14,Subject#15,Subject#16,,Average,Standard error
ROI#6,Within_N,0.367946,-0.045921,0.050065,0.660207,0.434904,-0.499797,0.037279,-0.272790,0.022985,0.332264,0.259245,-0.791316,0.212236,0.224142,0.438483,0.490257,,0.120012,0.095577
ROI#6,Within_AJ,0.378549,0.216541,0.150244,0.520108,0.414246,-0.515952,-0.140117,-0.311022,0.138682,0.277793,0.391694,-0.817486,0.361186,0.315185,0.300535,0.571594,,0.140736,0.097585
ROI#6,Within_V,0.361865,0.225853,0.249140,1.100755,0.413646,-0.812218,-0.302749,-0.227983,0.087475,0.263013,0.186133,-0.773156,0.234854,0.113072,0.188833,0.564989,,0.117095,0.118018
ROI#6,Within_AV,0.255486,0.204234,0.322164,1.083248,0.495005,-0.831187,-0.364189,-0.074386,0.145898,0.139758,0.201738,-0.641203,0.190632,0.043110,0.163591,0.577072,,0.119436,0.114030
ROI#6,Within_FW,0.053291,0.178864,0.136287,0.715222,0.381861,-0.682908,-0.203630,-0.191462,0.195508,0.160512,0.242157,-0.958566,0.395619,0.218033,0.197190,0.649713,,0.092981,0.108464
ROI#6,Between_N_AJ,0.370302,0.083308,0.108195,0.577781,0.426552,-0.506584,-0.021164,-0.293294,0.083897,0.292323,0.323511,-0.823000,0.291576,0.258192,0.341148,0.536456,,0.128075,0.095362
ROI#6,Between_N_V,0.352304,0.074984,0.117760,0.791717,0.423748,-0.680146,-0.093437,-0.231103,0.051911,0.291225,0.193586,-0.778624,0.223867,0.184358,0.303681,0.526972,,0.109550,0.101406
ROI#6,Between_N_AV,0.289255,0.065612,0.159732,0.769635,0.466337,-0.701249,-0.150761,-0.154041,0.073452,0.213368,0.216466,-0.718355,0.198812,0.147346,0.292306,0.539932,,0.106740,0.098557
ROI#6,Between_N_FW,0.224221,0.065654,0.101478,0.629765,0.394826,-0.620061,-0.070019,-0.232932,0.085332,0.231922,0.231056,-0.878636,0.302814,0.196670,0.311774,0.565188,,0.096191,0.098878
ROI#6,Between_AJ_N,0.370302,0.083308,0.108195,0.577781,0.426552,-0.506584,-0.021164,-0.293294,0.083897,0.292323,0.323511,-0.823000,0.291576,0.258192,0.341148,0.536456,,0.128075,0.095362
ROI#6,Between_AJ_V,0.367809,0.212188,0.210492,0.789076,0.417908,-0.662064,-0.217914,-0.247249,0.112902,0.280479,0.275607,-0.813107,0.299025,0.227220,0.234455,0.568156,,0.128436,0.105124
ROI#6,Between_AJ_AV,0.309195,0.201798,0.239558,0.768370,0.465395,-0.690204,-0.267261,-0.194623,0.139176,0.218985,0.290061,-0.769840,0.272929,0.195161,0.230290,0.577948,,0.124184,0.103750
ROI#6,Between_AJ_FW,0.234813,0.191264,0.146773,0.599012,0.393058,-0.605496,-0.204083,-0.248910,0.136153,0.184590,0.292644,-0.895279,0.368860,0.244570,0.244173,0.599808,,0.105122,0.101551
ROI#6,Between_V_N,0.352304,0.074984,0.117760,0.791717,0.423748,-0.680146,-0.093437,-0.231103,0.051911,0.291225,0.193586,-0.778624,0.223867,0.184358,0.303681,0.526972,,0.109550,0.101406
ROI#6,Between_V_AJ,0.367809,0.212188,0.210492,0.789076,0.417908,-0.662064,-0.217914,-0.247249,0.112902,0.280479,0.275607,-0.813107,0.299025,0.227220,0.234455,0.568156,,0.128436,0.105124
ROI#6,Between_V_AV,0.306688,0.209453,0.285483,1.090317,0.459085,-0.819240,-0.341675,-0.146000,0.112438,0.200115,0.196967,-0.709060,0.210160,0.068633,0.178020,0.572066,,0.117091,0.115667
ROI#6,Between_V_FW,0.222010,0.179224,0.163307,0.902451,0.392497,-0.736508,-0.254139,-0.221394,0.130386,0.209121,0.185549,-0.867302,0.311297,0.163423,0.191862,0.596229,,0.098001,0.110721
ROI#6,Between_AV_N,0.289255,0.065612,0.159732,0.769635,0.466337,-0.701249,-0.150761,-0.154041,0.073452,0.213368,0.216466,-0.718355,0.198812,0.147346,0.292306,0.539932,,0.106740,0.098557
ROI#6,Between_AV_AJ,0.309195,0.201798,0.239558,0.768370,0.465395,-0.690204,-0.267261,-0.194623,0.139176,0.218985,0.290061,-0.769840,0.272929,0.195161,0.230290,0.577948,,0.124184,0.103750
ROI#6,Between_AV_V,0.306688,0.209453,0.285483,1.090317,0.459085,-0.819240,-0.341675,-0.146000,0.112438,0.200115,0.196967,-0.709060,0.210160,0.068633,0.178020,0.572066,,0.117091,0.115667
ROI#6,Between_AV_FW,0.156535,0.180415,0.209656,0.900371,0.439872,-0.758070,-0.297604,-0.140196,0.163033,0.127962,0.201597,-0.806032,0.287813,0.135919,0.179299,0.615527,,0.099756,0.109439
ROI#6,Between_FW_N,0.224221,0.065654,0.101478,0.629765,0.394826,-0.620061,-0.070019,-0.232932,0.085332,0.231922,0.231056,-0.878636,0.302814,0.196670,0.311774,0.565188,,0.096191,0.098878
ROI#6,Between_FW_AJ,0.234813,0.191264,0.146773,0.599012,0.393058,-0.605496,-0.204083,-0.248910,0.136153,0.184590,0.292644,-0.895279,0.368860,0.244570,0.244173,0.599808,,0.105122,0.101551
ROI#6,Between_FW_V,0.222010,0.179224,0.163307,0.902451,0.392497,-0.736508,-0.254139,-0.221394,0.130386,0.209121,0.185549,-0.867302,0.311297,0.163423,0.191862,0.596229,,0.098001,0.110721
