ROI,Effect,MeanEffect,StdEffect,StderrEffect
LIFGorb,S,0.488971,0.444177,0.256446
LIFGorb,N,0.033614,0.960535,0.554565
LIFGorb,S-N,0.455357,0.576349,0.332755
LIFG,S,0.509815,0.382530,0.220854
LIFG,N,0.285502,0.656871,0.379245
LIFG,S-N,0.224314,0.402589,0.232435
LMFG,S,0.523807,0.214730,0.123975
LMFG,N,0.277352,0.647100,0.373603
LMFG,S-N,0.246454,0.435613,0.251501
LAntTemp,S,0.100342,0.671407,0.387637
LAntTemp,N,-0.122907,0.990486,0.571857
LAntTemp,S-N,0.223249,0.442412,0.255427
LPostTemp,S,0.502679,0.705912,0.407558
LPostTemp,N,0.285327,0.816706,0.471525
LPostTemp,S-N,0.217352,0.168031,0.097013
LAngG,S,0.136814,0.952382,0.549858
LAngG,N,-0.102020,0.898079,0.518506
LAngG,S-N,0.238835,0.394963,0.228032
