Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,FED_20170823a_3T2,,A,25,0,0.00136146298609674,4,4.00045000499813,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg,,
2,FED_20170823a_3T2,,A,25,4,4.00281643797643,4,3.99789399301517,Agent,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Agent_passive_25.jpg,,
,FED_20170823a_3T2,,A,NA,8,8.00137400397216,6,6.00171350702294,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
3,FED_20170823a_3T2,,A,40,14,14.0038851359859,4,3.99720869099838,Agent,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Agent_passive_40.jpg,,
4,FED_20170823a_3T2,,A,40,18,18.0017346609966,4,3.99997608098784,Agent,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Agent_active_40.jpg,,
,FED_20170823a_3T2,,A,NA,22,22.0024304709805,4,3.99966066799243,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,FED_20170823a_3T2,,A,7,26,26.0028087279934,4,3.99879458398209,Agent,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Agent_active_7.jpg,,
,FED_20170823a_3T2,,A,NA,30,30.0023266019998,2,2.00072749098763,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,FED_20170823a_3T2,,A,8,32,32.0037957259919,4,3.99838686099974,Patient,0,active,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_active_8.jpg,Patient_active_8.jpg,,
7,FED_20170823a_3T2,,A,35,36,36.0029115579964,4,3.99869444698561,Agent,1,passive,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_35.jpg,Agent_passive_35.jpg,,
,FED_20170823a_3T2,,A,NA,40,40.0022659889946,2,2.00050318200374,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
8,FED_20170823a_3T2,,A,8,42,42.0035045509867,4,3.99755229899893,Agent,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Agent_passive_8.jpg,,
9,FED_20170823a_3T2,,A,19,46,46.0017146839818,4,3.999455201003,Agent,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Agent_passive_19.jpg,,
,FED_20170823a_3T2,,A,NA,50,50.0018546909851,6,6.00083258899394,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
10,FED_20170823a_3T2,,A,41,56,56.0034039769962,10,9.99800175899873,Patient,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Patient_active_41.jpg,,N
11,FED_20170823a_3T2,,A,4,66,66.0020683239854,4,3.99902735499199,Patient,1,passive,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_4.jpg,Patient_passive_4.jpg,,
,FED_20170823a_3T2,,A,NA,70,70.0017592279764,4,4.0007460360066,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
12,FED_20170823a_3T2,,A,19,74,74.0031654579798,4,3.99805802499759,Agent,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Agent_active_19.jpg,,
,FED_20170823a_3T2,,A,NA,78,78.0019995939801,4,4.00074977599434,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
13,FED_20170823a_3T2,,A,8,82,82.0034095299779,4,3.99757044299622,Patient,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Patient_passive_8.jpg,,
14,FED_20170823a_3T2,,A,34,86,86.0016426309885,4,4.00002169198706,Patient,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Patient_passive_34.jpg,,
15,FED_20170823a_3T2,,A,23,90,90.0023509419989,4,3.99953258299502,Patient,0,active,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_active_23.jpg,Patient_active_23.jpg,,
16,FED_20170823a_3T2,,A,4,94,94.0025494479924,4,3.99810595597955,Agent,1,passive,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_4.jpg,Agent_passive_4.jpg,,
17,FED_20170823a_3T2,,A,23,98,98.0012749449816,4,3.9997703669942,Agent,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Agent_passive_23.jpg,,
,FED_20170823a_3T2,,A,NA,102,102.001824154984,4,4.00006529298844,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
18,FED_20170823a_3T2,,A,38,106,106.002567104995,4,3.99807988398243,Patient,1,passive,Lily Triangle is being rolled by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_38.jpg,Patient_passive_38.jpg,,
,FED_20170823a_3T2,,A,NA,110,110.001295390975,2,2.00156069701188,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
19,FED_20170823a_3T2,,A,38,112,112.003535177995,4,3.99822610698175,Patient,0,active,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_38.jpg,Patient_active_38.jpg,,
20,FED_20170823a_3T2,,A,26,116,116.002433474991,4,3.99810467698262,Agent,0,active,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star,Base_active_26.jpg,Agent_active_26.jpg,,
,FED_20170823a_3T2,,A,NA,120,120.001153854973,4,4.00188311800594,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
21,FED_20170823a_3T2,,A,22,124,124.003694233979,4,3.99685307199252,Patient,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Patient_active_22.jpg,,
,FED_20170823a_3T2,,A,NA,128,128.001176758,2,2.00090596897644,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
22,FED_20170823a_3T2,,A,11,130,130.002827412973,4,3.99862796399975,Patient,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Patient_passive_11.jpg,,
,FED_20170823a_3T2,,A,NA,134,134.002070516988,2,2.00117376298294,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
23,FED_20170823a_3T2,,A,38,136,136.003887593979,4,3.99758253499749,Agent,1,passive,Lily Triangle is being rolled by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_38.jpg,Agent_passive_38.jpg,,
,FED_20170823a_3T2,,A,NA,140,140.002337372978,2,2.00092386599863,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
24,FED_20170823a_3T2,,A,26,142,142.003903721983,4,3.99659757301561,Patient,0,active,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star,Base_active_26.jpg,Patient_active_26.jpg,,
,FED_20170823a_3T2,,A,NA,146,146.001116826985,6,6.00196054100525,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
25,FED_20170823a_3T2,,A,20,152,152.003838429984,10,9.99773742401158,Agent,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Agent_passive_20.jpg,,N
,FED_20170823a_3T2,,A,NA,162,162.002211036975,2,1.99947897900711,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
26,FED_20170823a_3T2,,A,20,164,164.002327963972,4,3.99963220302016,Agent,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Agent_active_20.jpg,,
27,FED_20170823a_3T2,,A,5,168,168.002684752981,4,3.9977014370088,Agent,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Agent_passive_5.jpg,,
28,FED_20170823a_3T2,,A,20,172,172.001022051991,4,3.99993900000118,Patient,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Patient_passive_20.jpg,,
29,FED_20170823a_3T2,,A,38,176,176.001582934987,4,4.00008230798994,Agent,0,active,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_38.jpg,Agent_active_38.jpg,,
30,FED_20170823a_3T2,,A,35,180,180.002287611976,4,3.99848863799707,Patient,0,active,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_35.jpg,Patient_active_35.jpg,,
