Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,FED_20170823a_3T2,,D,26,0,0.000558863015612587,10,10.000707477011,Patient,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Patient_passive_26.jpg,,N
,FED_20170823a_3T2,,D,NA,10,10.002006884024,6,6.00079675100278,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
2,FED_20170823a_3T2,,D,5,16,16.00351662701,4,3.99706334600342,Agent,0,active,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_active_5.jpg,Agent_active_5.jpg,,
3,FED_20170823a_3T2,,D,19,20,20.0013015750155,4,3.99915100200451,Patient,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Patient_passive_19.jpg,,
,FED_20170823a_3T2,,D,NA,24,24.0011765170202,2,2.00123010098469,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
4,FED_20170823a_3T2,,D,4,26,26.0031369070057,4,3.99888731000829,Agent,0,active,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_4.jpg,Agent_active_4.jpg,,
,FED_20170823a_3T2,,D,NA,30,30.002723461017,4,3.99929716900806,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,FED_20170823a_3T2,,D,10,34,34.0027386670117,4,3.998261678993,Agent,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Agent_active_10.jpg,,
,FED_20170823a_3T2,,D,NA,38,38.0019700710254,2,2.00026627100306,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,FED_20170823a_3T2,,D,19,40,40.0029871000152,4,3.99906249801279,Agent,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Agent_active_19.jpg,,
,FED_20170823a_3T2,,D,NA,44,44.0029343110218,2,2.00067682200461,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
7,FED_20170823a_3T2,,D,23,46,46.004350342002,4,3.99720892999903,Patient,0,active,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_active_23.jpg,Patient_active_23.jpg,,
,FED_20170823a_3T2,,D,NA,50,50.0022902580095,4,4.00049448001664,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
8,FED_20170823a_3T2,,D,19,54,54.0034725500154,4,3.99706057499861,Patient,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Patient_active_19.jpg,,
9,FED_20170823a_3T2,,D,8,58,58.0012705440167,4,3.99952360099996,Agent,0,active,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_active_8.jpg,Agent_active_8.jpg,,
10,FED_20170823a_3T2,,D,41,62,62.0014764600201,4,4.0002071140043,Patient,1,passive,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_41.jpg,Patient_passive_41.jpg,,
11,FED_20170823a_3T2,,D,4,66,66.0024555480049,4,3.9981537470012,Agent,1,passive,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_4.jpg,Agent_passive_4.jpg,,
,FED_20170823a_3T2,,D,NA,70,70.0012719640217,12,12.0008399139915,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
12,FED_20170823a_3T2,,D,40,82,82.002840280009,4,3.99911471601808,Patient,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Patient_active_40.jpg,,
13,FED_20170823a_3T2,,D,4,86,86.0026432480081,4,3.99810484601767,Patient,0,active,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_4.jpg,Patient_active_4.jpg,,
,FED_20170823a_3T2,,D,NA,90,90.0014510250185,4,4.00259940000251,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
14,FED_20170823a_3T2,,D,10,94,94.0047406200028,4,3.99669316102518,Agent,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Agent_passive_10.jpg,,
