Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,FED_20170825a_3T2,,C,26,0,0.00285278100636788,4,3.99990284899832,Agent,0,active,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star,Base_active_26.jpg,Agent_active_26.jpg,,
2,FED_20170825a_3T2,,C,34,4,4.00410548498621,4,3.99719101801747,Agent,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Agent_active_34.jpg,,
,FED_20170825a_3T2,,C,NA,8,8.00217261599028,8,8.00213105400326,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
3,FED_20170825a_3T2,,C,20,16,16.0052842980076,4,3.99525525298668,Patient,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Patient_active_20.jpg,,
4,FED_20170825a_3T2,,C,38,20,20.0017116369854,4,4.00014923702111,Agent,1,passive,Lily Triangle is being rolled by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_38.jpg,Agent_passive_38.jpg,,
,FED_20170825a_3T2,,C,NA,24,24.0026900240046,2,2.00098843898741,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,FED_20170825a_3T2,,C,20,26,26.0043122619973,4,3.99842308499501,Agent,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Agent_active_20.jpg,,
,FED_20170825a_3T2,,C,NA,30,30.0035013479937,4,3.99857981500099,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,FED_20170825a_3T2,,C,41,34,34.0028974419984,4,3.99769228199148,Patient,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Patient_active_41.jpg,,
7,FED_20170825a_3T2,,C,22,38,38.0012927750067,4,4.00004489297862,Agent,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Agent_active_22.jpg,,
8,FED_20170825a_3T2,,C,37,42,42.002358089987,4,4.00011553001241,Agent,1,passive,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square,Base_passive_37.jpg,Agent_passive_37.jpg,,
9,FED_20170825a_3T2,,C,23,46,46.0032202129951,4,3.99893384700408,Patient,0,active,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_active_23.jpg,Patient_active_23.jpg,,
10,FED_20170825a_3T2,,C,22,50,50.0030457820103,4,3.99913321697386,Patient,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Patient_passive_22.jpg,,
,FED_20170825a_3T2,,C,NA,54,54.0030251989956,4,3.9992157020024,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
