Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,imagetest,,D,26,0,0.00206157698994502,10,9.99915722501464,Patient,1,flipped,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_flipped_26.jpg,Patient_flipped_26.jpg,N,Y
,imagetest,,D,NA,10,10.0023055709898,6,6.00249770501978,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
2,imagetest,,D,5,16,16.0058060759911,4,3.99566853200668,Agent,0,orig,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_orig_5.jpg,Agent_orig_5.jpg,,
3,imagetest,,D,19,20,20.0019375510165,4,3.99862125198706,Patient,1,flipped,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_flipped_19.jpg,Patient_flipped_19.jpg,,
,imagetest,,D,NA,24,24.0010212080088,2,2.00219443900278,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
4,imagetest,,D,4,26,26.0039529589994,4,3.99657235501218,Agent,0,orig,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_4.jpg,Agent_orig_4.jpg,,
,imagetest,,D,NA,30,30.0010634860082,4,4.00120899200556,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,imagetest,,D,10,34,34.0027599710156,4,3.9980098719825,Agent,0,orig,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_10.jpg,Agent_orig_10.jpg,,
,imagetest,,D,NA,38,38.0012202330108,2,2.00074140599463,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,imagetest,,D,19,40,40.0024468300107,4,3.99949253100203,Agent,0,orig,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_orig_19.jpg,Agent_orig_19.jpg,,
,imagetest,,D,NA,44,44.0024929089996,2,1.99919362200308,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
