"ROI","average.ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"1","1885","188","1.000000","-0.889656","1","1"
"2","3322","332","1.000000","0.475440","1","1"
"3","1525","152","1.000000","-0.650722","1","1"
"4","4182","418","1.000000","0.127808","1","1"
"5","3419","341","1.000000","0.250954","1","1"
"6","1313","131","1.000000","-0.238806","1","1"
"7","4051","405","1.000000","0.028956","1","1"
"Weights","","","","","1","1"
"ROI#","Subject#1","Subject#2","Subject#3","","1","1"
"1","1.000000","1.000000","1.000000","","1","1"
"2","1.000000","1.000000","1.000000","","1","1"
"3","1.000000","1.000000","1.000000","","1","1"
"4","1.000000","1.000000","1.000000","","1","1"
"5","1.000000","1.000000","1.000000","","1","1"
"6","1.000000","1.000000","1.000000","","1","1"
"7","1.000000","1.000000","1.000000","","1","1"
"quality control (localizer mask sizes)","","","","","1","1"
"Subject#","Session/Partition#","filename","ROI#1","ROI#2","1","1"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","332","1","1"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20170210b_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","332","1","1"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20170210c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","332","1","1"
"1","1885","188","1.000000","-0.797058","1","2"
"2","3322","332","1.000000","0.468045","1","2"
"3","1525","152","1.000000","-0.189380","1","2"
"4","4182","418","1.000000","0.174399","1","2"
"5","3419","341","1.000000","0.168258","1","2"
"6","1313","131","1.000000","0.037713","1","2"
"7","4051","405","1.000000","0.054199","1","2"
"Weights","","","","","1","2"
"ROI#","Subject#1","Subject#2","Subject#3","","1","2"
"1","1.000000","1.000000","1.000000","","1","2"
"2","1.000000","1.000000","1.000000","","1","2"
"3","1.000000","1.000000","1.000000","","1","2"
"4","1.000000","1.000000","1.000000","","1","2"
"5","1.000000","1.000000","1.000000","","1","2"
"6","1.000000","1.000000","1.000000","","1","2"
"7","1.000000","1.000000","1.000000","","1","2"
"quality control (localizer mask sizes)","","","","","1","2"
"Subject#","Session/Partition#","filename","ROI#1","ROI#3","1","2"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","152","1","2"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20170210b_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","152","1","2"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20170210c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","152","1","2"
"1","1885","188","1.000000","-0.324830","2","1"
"2","3322","332","1.000000","-0.026464","2","1"
"3","1525","152","1.000000","-0.312633","2","1"
"4","4182","418","1.000000","-0.143298","2","1"
"5","3419","341","1.000000","0.277149","2","1"
"6","1313","131","1.000000","0.070674","2","1"
"7","4051","405","1.000000","-0.079364","2","1"
"Weights","","","","","2","1"
"ROI#","Subject#1","Subject#2","Subject#3","","2","1"
"1","1.000000","1.000000","1.000000","","2","1"
"2","1.000000","1.000000","1.000000","","2","1"
"3","1.000000","1.000000","1.000000","","2","1"
"4","1.000000","1.000000","1.000000","","2","1"
"5","1.000000","1.000000","1.000000","","2","1"
"6","1.000000","1.000000","1.000000","","2","1"
"7","1.000000","1.000000","1.000000","","2","1"
"quality control (localizer mask sizes)","","","","","2","1"
"Subject#","Session/Partition#","filename","ROI#1","ROI#4","2","1"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","418","2","1"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20170210b_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","418","2","1"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20170210c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","418","2","1"
"1","1885","188","1.000000","-0.587899","2","2"
"2","3322","332","1.000000","-0.052232","2","2"
"3","1525","152","1.000000","-0.510580","2","2"
"4","4182","418","1.000000","-0.213339","2","2"
"5","3419","341","1.000000","0.247540","2","2"
"6","1313","131","1.000000","-0.186339","2","2"
"7","4051","405","1.000000","-0.069815","2","2"
"Weights","","","","","2","2"
"ROI#","Subject#1","Subject#2","Subject#3","","2","2"
"1","1.000000","1.000000","1.000000","","2","2"
"2","1.000000","1.000000","1.000000","","2","2"
"3","1.000000","1.000000","1.000000","","2","2"
"4","1.000000","1.000000","1.000000","","2","2"
"5","1.000000","1.000000","1.000000","","2","2"
"6","1.000000","1.000000","1.000000","","2","2"
"7","1.000000","1.000000","1.000000","","2","2"
"quality control (localizer mask sizes)","","","","","2","2"
"Subject#","Session/Partition#","filename","ROI#1","ROI#5","2","2"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","341","2","2"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20170210b_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","341","2","2"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20170210c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","341","2","2"
